Tag Name,Question,Answer
TransitVisa,Do I need a transit visa?,"Citizens of certain countries and territories need a visa to enter Canada. If you are among them, you will need a transit visa to travel through Canada without stopping or visiting. This applies even if you are in Canada for less than 48 hours. 

You may not need a transit visa if you are travelling to or from the United States. The Transit Without Visa program (TWOV) and the China Transit Program (CTP) allow certain foreign nationals to transit through Canada on their way to and from the United States without a Canadian transit visa, if they meet certain requirements. 

To learn more, visit the website of Government of Canada"
ConnectInternationalToInternational,How do I connect from an international flight to another international flight?,"After having gone through border control – primary inspection, you will be asked to follow one of two procedures:

1- Your airline offers the option of automatically transferring your luggage: 

You will be directed to the international departures area. If you are not arriving from the European Union, you will first be directed to the pre-boarding screening checkpoint for connections.
 

2- Your airline does not offer the option of automatically transferring your luggage:

You will have to pick it up your luggage from the carousel, then follow the normal procedure for international arrivals and then for international departures."
ConnectInternationalToUs,How do I connect from an international flight to a US flight?,"If your flight originated outside Canada or the United States and you need to take a connecting flight to a U.S. destination, follow the signs ""Connections to United States"".

There are two possible options:

1- Your airline offers the option of automatically transferring your luggage and you have a boarding pass for your connecting flight:

You will be asked to proceed via a connecting flights corridor, avoiding Canadian customs. You will, however, have to go through U.S. customs. Your checked luggage will be transferred automatically by the luggage-handling system. Note, however, that U.S. customs officers are authorized to recall your luggage, if necessary, for manual inspection. If the customs officers do not yet have the information on your luggage at hand, you will be asked to proceed to the waiting area. 
2- Your airline does not offer the option of automatically transferring your luggage:

You must pick it up your luggage from the carousel, then follow the normal procedures for international arrivals, then for U.S. departures."
ConnectInternationalToDomestic,How do I connect from an international flight to a domestic flight?,"After having gone through border control – primary inspection, you will be asked to follow one of two procedures:

1- Your airline offers the option of automatically transferring your luggage: 

You will be directed to the domestic departures area. If you are not arriving from the European Union, you will first be directed to the pre-boarding screening checkpoint for connections.
2- Your airline does not offer the option of automatically transferring your luggage:

You will have to pick up your luggage from the carousel, then follow the normal procedure for international arrivals and then for domestic departures."
ConnectDomesticToInternational,How do I connect from a domestic flight to an international flight?,"If your flight originated in Canada and you need to take a connecting flight to an international destination and you already have your boarding pass, you do not need to leave the restricted area or worry about your checked luggage.

You can confirm your departure gate number on one of the flight-schedule display screens and keep your boarding pass on hand to go through the control entry into the international area. Once in the international area, you can not return into the mixed area. 

If you do not have your boarding pass, you need to obtain one at your airline’s check-in counter."
ConnectDomesticToUs,How do I connect from a domestic flight to a US flight?,"If your flight originated in Canada and you have a boarding pass for a connecting flight to a U.S. destination, you must follow the U.S. Connections signs, go through pre-boarding screening checkpoint “C”, and then go through U.S. Customs.

Your checked luggage will be transferred automatically by the luggage-handling system.

Note, however, that U.S. customs officers are authorized to recall your luggage, if necessary, for manual inspection. If the customs officers do not yet have the information on your luggage at hand, you will be asked to proceed to the waiting area."
ConnectDomesticToDomestic,How do I connect from a domestic flight to another domestic flight?,"If your flight originated in Canada and you need to take a connecting flight to another Canadian destination, you do not normally need to leave the restricted area or worry about your checked luggage (verify with your airline). You can confirm your departure gate number on one of the flight-schedule display screens. 

Would you like to leave the restricted area?

If for some reason you wish to leave the restricted area, remember to keep your boarding pass with you and to arrive at pre-boarding screening checkpoint “A” far enough in advance of your flight."
ConnectUsToInternational,How do I connect from a US flight to an international flight?,"After having gone through border control – primary inspection, you will be asked to follow one of two procedures:

1- Your airline offers the option of automatically transferring your luggage:

You will be directed to the international departures area.
2- Your airline does not offer the option of automatically transferring your luggage:

You will have to pick it up your luggage from the carousel, then follow the normal procedure for international arrivals and then for international departures."
ConnectUsToDomestic,How do I connect from a US flight to a domestic flight?,"After having gone through border control – primary inspection, you will be asked to follow one of two procedures:

1- Your airline offers the option of automatically transferring your luggage:

You will be directed to the domestic departures area.
2- Your airline does not offer the option of automatically transferring your luggage:

You will have to pick it up your luggage from the carousel, then follow the normal procedure for international arrivals and then for domestic departures."
ChinaTransitProgram,What is the China transit program?,"The China Transit Program allows certain foreign nationals to transit through Canada on their way to and from the United States (U.S.) without a Canadian transit visa. The program is operated jointly by Citizenship and Immigration Canada (CIC) and the Canada Border Services Agency.

For more information on eligibility requirements for travellers, airlines, and airport authorities visit Transit through Canada without a visa on the CIC website."
StayUpToDateToFlights,How to stay up to date of a flight at all times?,"Get real-time flight status updates and alerts by text message (SMS) for flight schedule changes of over 10 minutes. Sign up for this handy service using this form.

To sign up for alerts, answer OK upon receiving flight information. Montréal-Trudeau SMS flight information automatically sends alerts to users once a request is made."
SmsAlert,What is an SMS alert?,"The SMS alert automatically informs the user of a change in the scheduled departure or arrival time of more than 10 minutes.

The user will also receive an SMS alert if the queried flight has been cancelled. "
SmsAlertAvailabilityTime,How long will the SMS alerts be made available?,SMS flight information is available up to 24 hours before a flight is departing or arriving and for one hour after it has departed or landed.
StopSmsAlert,How do I stop the SMS alerts?,You can stop receiving SMS alerts at any time by texting the word ¨STOP¨ to 23636.
FlightNumberErrorOnSmsAlert,What happens if I make a mistake in the flight number while signing up for the SMS alerts?,"The format to use for this service is your flight number including the 2- or 3-letter airline code (e.g.:AC123). If the flight number is typed incorrectly, you will receive an error message. 

To consult the state of a flight or a flight number, please visit the Flights section"
SmsAlertPrice,What is the cost of using a text messaging service (SMS)?,"This service is provided free of charge by YUL Montréal-Trudeau International Airport, only standard text messaging rates by your cell phone carrier apply."
