ID,Question,Exact match,Train / Test set
0001,What is the limit regarding liquids in carry-on bags?,WhatCanIBring,train
0002,Are there any exceptions?,,train
0003,Will I be allowed to carry liquid medicins?,WhatCanIBring,train
0004,Does the same rule apply for perfumes and non-consumable products?,,train
0005,"If I had a bottle of frozen iced tea in my carry-on bag, is it still considered liquid?... :)",WhatCanIBring,train
0006,Where is the closest drop-off location to gate 23?,,train
0007,Is there a drop-off and pick-up service provided by the airport?,,test
0008,Is there a dedicated parking lot for shared car services such as Car2Go?,,train
0009,Where can I park for a short time while waiting to pick up a passenger?,CellParc,test
0010,What services do you provide to support people with reduced mobility?,,test
0011,What is the process of reserving a parking spot for 2 weeks?,,test
0012,What methods of payments are available for parking tickets?,,test
0013,How many parking lots are available in the airport?,,train
0014,How can I reserve a wheelchair to have it ready in the parking lot?,,train
0015,Do you have valet parking services?,,train
0016,What entertainment services are provided at the airport?,,train
0017,Do you have a children play area?,,test
0018,Do you have a pet hotel?,,test
0019,Where can I get access to a computer and a printer?,,test
0020,Is there a gym at the airport?,,train
0021,What should I know when travelling with a pet?,,train
0022,Do you have a clinic at the airport?,,train
0023,What is the legal quantity limit on buying alcoholic beverages?,,test
0024,I had an issue and I would like to speak to customer support,InformationDesk,train
0025,When is flight AF345 expected to arrive?,,train
0026,What is the authorized quantity of duty-free items to which I am entitled?,,train
0027,Are liquids purchased in an international zone allowed on the plane?,WhatCanIBring,test
0028,What items can I buy tax-free from Canada?,,test
0029,I ordered online fre duty items. Where can I collect my purchases at the airport?,DutyFree,train
0030,My flight boarding gate is 55. Where are the duty free shops closest to my boarding gate?,DutyFree,train
0031,How do I find out requirements for shipping an animal on a flight?,,test
0032,Where are the suitable locations for my boarding?,,test
0033,"I travel with my pet, where are the specific areas that allow animals to relieve themselves?",ReliefArea,train
0034,I need a personal helper to help me at the boarding gate. Who should I contact?,,test
0035,Where could I find a wheelchair in the airport terminal?,,train
0036,Can I pass safety checks with my baby's car seat for Use in the Aircraft?,ScreeningProceduresWithChildren,train
0037,"I have liquid food from my baby, can I pass the security checks with these?",SecurityScreeningWithChildren,test
0038,How can I know how long it will take for me to finalize my Airport Security Check?,,test
0039,What are the prohibited items in the cabin?,WhatCanIBring,train
0040,I have a bottle of liquid in my cabin baggage that may have exceeded 100ml. Is there a point at the airport where I can pick it up on my return if I can not bring it on the plane?,,test
0041,Where can I find more information about airline clubs and lounges at Airport?,,train
0042,Is there a possibility to take a guided tour of the airport?,,train
0043,Can I take a shower at the airport?,,test
0044,I am tired and I have a little time before boarding. Where can I find massage seats in the international boarding area?,MassageChairs,train
0045,I travel with children. What entertainment is available at the airport for children while waiting for our flight?,,train
0046,I lost my luggage in the airport. what should I do?,ClaimLostItemAirport,test
0047,I have a chronic illness and I need medical help. Which service should I contact?,,train
0048,I am going on a business trip for two weeks. Are there preferential rates for long-term parking for business people?,,test
0049,Are the shuttles available 24h?,,train
0050,What are the bus fares from the airport to downtown Montreal?,BusPrice,train
0051,Can I walk from the airport?,,train
0052,Is it possible to make a reservation for a taxi?,,test
0053,Is there a metro station near the airport?,,test
0054,How much is the parking for two weeks?,,test
0055,Is there a place for bicycles in the parking lot?,BikeRackLocation,test
0056,Is there surveillance in the parking lot?,,train
0057,I can't find my car. Where can I receive help?,ParkingAssistance,train
0058,How can I pay my parking ticket?,,train
0059,What do I do if I missed my flight?,,train
0060,How much time in advance should I arrive at the airport for a domestic flight?,,train
0061,Can I leave the airport between my connecting fligths?,,train
0062,Can my cat leave his cage?,ArePetsAllowed,test
0063,How many luggages can I bring in an international flight?,,train
0064,I found a wallet. Can I drop it somewhere?,,train
0065,"I lost my passport, what should I do?",ClaimLostItemAirport,train
